"filename", "language", "JavaScript", "CSS", "XML", "comment", "blank", "total"
"d:\Web\fplms-fe\src\components\NumberInput\index.js", "JavaScript", 9, 0, 0, 0, 3, 12
"d:\Web\fplms-fe\src\components\NumberInput\style.js", "JavaScript", 12, 0, 0, 0, 3, 15
"d:\Web\fplms-fe\src\components\Overlay\index.js", "JavaScript", 84, 0, 0, 2, 14, 100
"d:\Web\fplms-fe\src\components\Overlay\style.js", "JavaScript", 17, 0, 0, 0, 3, 20
"d:\Web\fplms-fe\src\components\Pagination\index.js", "JavaScript", 27, 0, 0, 1, 5, 33
"d:\Web\fplms-fe\src\components\Pagination\style.js", "JavaScript", 48, 0, 0, 0, 5, 53
"d:\Web\fplms-fe\src\components\Particles\index.js", "JavaScript", 133, 0, 0, 27, 41, 201
"d:\Web\fplms-fe\src\components\PostSection\index.js", "JavaScript", 162, 0, 0, 1, 9, 172
"d:\Web\fplms-fe\src\components\PostSection\loader.js", "JavaScript", 25, 0, 0, 0, 3, 28
"d:\Web\fplms-fe\src\components\PostSection\loader.style.js", "JavaScript", 173, 0, 0, 0, 6, 179
"d:\Web\fplms-fe\src\components\PostSection\style.js", "JavaScript", 159, 0, 0, 0, 17, 176
"d:\Web\fplms-fe\src\components\RouteContainer\index.js", "JavaScript", 21, 0, 0, 0, 3, 24
"d:\Web\fplms-fe\src\components\RouteContainer\style.js", "JavaScript", 32, 0, 0, 0, 7, 39
"d:\Web\fplms-fe\src\components\Selection\index.js", "JavaScript", 70, 0, 0, 0, 10, 80
"d:\Web\fplms-fe\src\components\Selection\style.js", "JavaScript", 83, 0, 0, 0, 15, 98
"d:\Web\fplms-fe\src\components\Sidebar\index.js", "JavaScript", 125, 0, 0, 0, 13, 138
"d:\Web\fplms-fe\src\components\Sidebar\style.js", "JavaScript", 96, 0, 0, 0, 16, 112
"d:\Web\fplms-fe\src\components\Skeleton\index.js", "JavaScript", 25, 0, 0, 0, 6, 31
"d:\Web\fplms-fe\src\components\Skeleton\style.js", "JavaScript", 29, 0, 0, 0, 4, 33
"d:\Web\fplms-fe\src\components\Spinner\index.js", "JavaScript", 5, 0, 0, 0, 3, 8
"d:\Web\fplms-fe\src\components\Spinner\style.js", "JavaScript", 24, 0, 0, 0, 3, 27
"d:\Web\fplms-fe\src\components\StudentInfoModal\index.js", "JavaScript", 25, 0, 0, 1, 3, 29
"d:\Web\fplms-fe\src\components\StudentInfoModal\style.js", "JavaScript", 58, 0, 0, 95, 10, 163
"d:\Web\fplms-fe\src\components\StudentRow\index.js", "JavaScript", 27, 0, 0, 0, 4, 31
"d:\Web\fplms-fe\src\components\StudentRow\style.js", "JavaScript", 21, 0, 0, 0, 6, 27
"d:\Web\fplms-fe\src\components\TextEditor\index.js", "JavaScript", 196, 0, 0, 2, 12, 210
"d:\Web\fplms-fe\src\components\TextEditor\style.js", "JavaScript", 105, 0, 0, 0, 10, 115
"d:\Web\fplms-fe\src\components\TopActivities\index.js", "JavaScript", 19, 0, 0, 0, 3, 22
"d:\Web\fplms-fe\src\components\TopActivities\style.js", "JavaScript", 43, 0, 0, 0, 7, 50
"d:\Web\fplms-fe\src\components\index.js", "JavaScript", 63, 0, 0, 0, 2, 65
"d:\Web\fplms-fe\src\contexts\auth.js", "JavaScript", 12, 0, 0, 3, 4, 19
"d:\Web\fplms-fe\src\contexts\loadOverlay.js", "JavaScript", 34, 0, 0, 0, 7, 41
"d:\Web\fplms-fe\src\hooks\index.js", "JavaScript", 3, 0, 0, 0, 2, 5
"d:\Web\fplms-fe\src\hooks\useClickOutSide.js", "JavaScript", 15, 0, 0, 0, 3, 18
"d:\Web\fplms-fe\src\hooks\useMousePosition.js", "JavaScript", 16, 0, 0, 0, 3, 19
"d:\Web\fplms-fe\src\index.css", "CSS", 0, 34, 0, 0, 7, 41
"d:\Web\fplms-fe\src\index.js", "JavaScript", 7, 0, 0, 3, 4, 14
"d:\Web\fplms-fe\src\logo.svg", "XML", 0, 0, 1, 0, 0, 1
"d:\Web\fplms-fe\src\reportWebVitals.js", "JavaScript", 12, 0, 0, 0, 2, 14
"d:\Web\fplms-fe\src\routes\Admin\index.js", "JavaScript", 180, 0, 0, 1, 17, 198
"d:\Web\fplms-fe\src\routes\Admin\style.js", "JavaScript", 18, 0, 0, 0, 4, 22
"d:\Web\fplms-fe\src\routes\ClassList\index.js", "JavaScript", 131, 0, 0, 13, 18, 162
"d:\Web\fplms-fe\src\routes\ClassList\style.js", "JavaScript", 82, 0, 0, 0, 14, 96
"d:\Web\fplms-fe\src\routes\DiscussionList\index.js", "JavaScript", 252, 0, 0, 2, 13, 267
"d:\Web\fplms-fe\src\routes\DiscussionList\style.js", "JavaScript", 112, 0, 0, 0, 11, 123
"d:\Web\fplms-fe\src\routes\DiscussionView\index.js", "JavaScript", 179, 0, 0, 1, 12, 192
"d:\Web\fplms-fe\src\routes\DiscussionView\style.js", "JavaScript", 138, 0, 0, 0, 17, 155
